index,sp600,sp100,r^2,beta
262,STEL,JNJ,0.7040859956,0.07531361249
575,EBIX,VZ,0.7039539773,1.002048642
13,ABG,VZ,0.7034090237,5.307576777
170,ATGE,LOW,0.7026338725,0.1679570204
484,CRSR,CAT,0.701095388,0.06825059076
50,IBP,FDX,0.700332268,1.25865671
463,VREX,UPS,0.6986869434,0.0840288167
539,HSTM,FDX,0.6982351428,0.06207497904
323,RCUS,NKE,0.6966549303,-0.4808132927
468,GIII,AIG,0.6963448108,1.736002072
403,CHEF,AMGN,0.6962670261,0.1021018047
418,NABL,CAT,0.6937643538,0.02489549977
54,AEO,VZ,0.6935094677,0.7257699445
48,SIG,SPG,0.6933211118,1.173508037
224,KAR,CSCO,0.6932651944,0.1981556968
137,VIAV,TMO,0.6925806177,0.01469159391
75,TPH,HD,0.6898383452,0.2523293817
153,UE,CAT,0.6895188285,0.08295802101
139,ROCK,DHR,0.6894643547,0.2334365764
233,VSTO,JPM,0.6864542986,0.2799722723
452,UTL,FDX,0.6855535966,0.2123996566
146,MTRN,TMO,0.6848284734,0.150767015
241,VCEL,RTX,0.6847998011,-0.2959256419
107,SKT,ABBV,0.6838675296,0.2241140539
326,CLB,CVX,0.6836476214,0.1931233452
199,NGVT,TMO,0.6821377396,0.09863591543
388,CUBI,COF,0.6819099939,0.3291020013
536,TTEC,GD,0.6817658593,0.2128130639
523,WSR,HD,0.6807914671,0.04528614625
181,EPC,LIN,0.6802192981,0.1256149939
352,TRUP,TMO,0.6796980934,0.04460878671
552,MOV,SPG,0.6774994762,0.296451104
331,DEA,COF,0.6774294998,0.1508423291
147,GNW,JPM,0.6766897509,0.04612075012
474,AOSL,BA,0.675463387,0.1147844748
470,SMP,TMO,0.6743655164,0.05468366555
9,ENSG,GD,0.6731285646,0.5737979267
419,DLX,SBUX,0.6728404139,0.2164578916
409,BFH,FDX,0.6726977227,0.1436581521
186,SDGR,TXN,0.6714407641,0.5629740962
43,AMN,UPS,0.671349374,0.2648187329
37,ACA,CMCSA,0.6695327702,1.472093061
251,UPBD,CAT,0.6685805707,0.113947721
440,CHCT,PG,0.667548775,0.4171341122
302,LNN,SBUX,0.66559559,1.080656994
289,LZB,SPG,0.6648781239,0.298725388
518,CLW,TMO,0.664120287,0.06309948609
47,EXTR,WBA,0.6636993318,0.6885204334
408,ARLO,COST,0.6636240696,0.0291276287
304,UNIT,QCOM,0.6603009799,0.06656557483
278,VGR,PM,0.6591941996,0.182936092
391,CRNC,GD,0.6583035638,0.2744509445
332,DNOW,COP,0.6571801553,0.06011354406
15,NSIT,AVGO,0.6566833659,0.1320510294
598,ZYXI,NEE,0.6564514783,0.4270530499
108,PRGS,TMO,0.6561526702,0.0761151687
66,WIRE,META,0.6552349792,0.3692222243
239,ODP,TMO,0.653443024,0.04616592136
478,AMBC,JNJ,0.6529317381,0.04906047218
271,TNC,UPS,0.652634964,0.3665720513
198,FWRD,V,0.6516815396,0.7984286651
250,MBC,GD,0.6498462483,0.07421911409
511,ADTN,AAPL,0.6496537333,0.03270720687
